Monthly Date,CO2 Emission
2012-08-01,160.749
2012-09-01,147.241
2012-10-01,153.265
2012-11-01,147.265
2012-12-01,146.39
2013-01-01,146.517
2013-02-01,134.243
2013-03-01,153.078
2013-04-01,149.442
2013-05-01,156.356
2013-06-01,152.814
